player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Ty Lawson,PG,180.98,184.15,89.18,184.78,2009
MarJon Beauchamp,SG,196.22,199.39,89.18,215.26,2022
Jon Diebler,SG,196.22,199.39,89.18,198.12,2011
Terrence Ross,SG/SF,198.12,200.66,89.18,201.3,2012
Joshua Hall,SF,198.12,201.93,89.18,210.82,2020
Julian Phillips,SF,200.02,202.56,89.18,212.09,2023
Duane Washington Jr.,SG,188.6,192.4,89.27,202.56,2021
Marial Shayok,SF/PF,194.31,196.85,89.27,214,2019
Jay Williams,PG,183.52,186.06,89.36,191.77,2002
CJ McCollum,PG/SG,188.6,191.14,89.36,198.76,2013
Ronald Murray,SG,190.5,193.04,89.36,201.93,2002
Michael Hicks,SG,193.04,195.58,89.36,206.38,2001
Hamidou Diallo,SG,193.68,198.12,89.36,212.09,2018
Mike Williams,SF,196.85,199.39,89.36,212.09,2004
Preston Shumpert,SF,198.12,200.66,89.36,204.47,2002
Daniel Hamilton,SG/SF,198.76,203.2,89.36,205.74,2016
Anthony Randolph,PF/SF,205.74,208.92,89.36,220.98,2008
Austin Reaves,SG,194.31,197.48,89.45,198.76,2021
Ricky Ledo,SG,194.94,198.12,89.45,201.3,2013
Hamidou Diallo,SG/SF,192.4,195.58,89.54,211.46,2017
Vander Blue,SG,191.77,196.22,89.54,198.12,2013
Allen Crabbe,SG,196.22,198.76,89.54,211.46,2013
Dan Langhi,SF,205.74,208.28,89.58,203.2,2000
Andrew Goudelock,PG,186.06,189.86,89.63,193.68,2011
Jarrett Jack,PG,189.23,191.77,89.63,201.93,2005
Otto Porter,SF,201.93,204.47,89.63,217.17,2013
Jalen Pickett,PG,187.96,190.5,89.72,201.3,2023
Kevin McCullar,SF,200.66,203.2,96.15,205.74,2023
Daniel Horton,PG/SG,184.15,188.6,89.81,200.66,2006
DeMarcus Nelson,PG/SG,185.42,188.6,89.81,208.28,2008
Nick Johnson,SG,186.69,190.5,89.81,201.3,2014
Jerian Grant,PG,191.14,193.68,89.81,201.93,2015
Ricky Minard,PG/SG,191.14,193.68,89.81,200.66,2004
Grayson Allen,SG,190.5,194.31,89.81,201.3,2018
Jeremy Hunt,SG,187.96,194.94,89.81,203.84,2007
Allonzo Trier,SG,192.4,196.22,89.81,200.02,2018
Shaedon Sharpe,SG,193.68,196.22,89.81,212.09,2022
Luke Recker,SG/SF,194.94,197.48,89.81,200.66,2002
Marquis Daniels,SG/PG,196.22,198.76,89.81,208.28,2003
Mike Smith,SF,199.39,201.93,89.81,204.47,2000
Adam Morrison,SF,199.39,202.56,89.81,208.28,2006
Marko Tomas,SG/PG,199.39,202.56,89.81,200.66,2004
Rasual Butler,SF,200.02,202.56,89.81,213.36,2002
James Moore,PF/SF,199.39,203.2,89.81,214.63,2004
Malcolm Lee,SG,193.04,196.85,89.9,207.64,2011
Melvin Frazier,SF/SG,194.31,198.12,89.9,217.8,2018
Tony Snell,SF/SG,198.12,201.3,89.9,212.09,2013
Jalen Brunson,PG,185.42,188.6,89.99,193.04,2018
Kendall Marshall,PG,191.14,193.68,89.99,196.85,2012
Jordan Crawford,SG,190.5,194.31,89.99,200.66,2010
Andre Jackson Jr.,SF,196.85,199.39,89.99,207.64,2023
Deron Washington,SF,196.22,198.76,90.04,205.74,2008
Zhaire Smith,SF/SG,189.86,193.04,90.08,207.64,2018
Rashad Vaughn,SG,192.4,195.58,90.08,200.66,2015
CJ Elleby,SG/SF,196.85,198.63,90.08,201.3,2020
Khyri Thomas,SG,189.23,192.4,90.17,209.55,2018
Tony Carr,PG,190.5,194.31,90.17,203.84,2018
Bobi Klintman,PF,208.28,210.82,102.04,213.36,2023
Jameer Nelson,PG,180.34,184.15,90.26,189.23,2004
Jamaal Tinsley,PG,184.78,187.32,90.26,201.93,2001
Gilbert Arenas,SG,188.6,191.14,90.26,207.01,2001
Beno Udrih,PG,189.23,192.4,90.26,194.31,2004
Reggie Williams,SG,191.14,193.04,90.26,206.38,2008
Jrue Holiday,PG/SG,191.14,193.68,90.26,200.66,2009
Robert Vaden,SG,191.77,194.31,90.26,203.2,2008
DJ Strawberry,SG,192.4,195.58,90.26,199.39,2007
Kareem Rush,SG/SF,194.94,197.48,90.26,207.64,2002
Jeff Newton,PF,203.2,205.74,90.26,215.9,2003
Chris McCullough,PF,203.84,205.74,90.26,221.62,2015
Colby Jones,SG,194.31,196.85,90.36,203.2,2023
Carsen Edwards,PG,179.7,183.52,90.45,198.12,2019
Raymond Felton,PG,181.61,183.52,90.45,193.68,2005
Michael Frazier II,SG,192.4,193.68,90.45,203.2,2015
Doron Lamb,SG/PG,191.14,194.94,90.45,200.02,2012
Tim Hardaway Jr.,SG,194.31,198.76,90.45,200.66,2013
Jacob Evans,SG/SF,193.68,196.85,90.54,206.38,2018
Malachi Richardson,SG/SF,194.94,198.76,90.54,213.36,2016
Reggie Bullock,SG/SF,197.48,200.66,90.63,205.1,2013
Khalid El-Amin,PG,175.26,177.8,90.72,186.69,2000
Charlie Bell,PG,189.23,191.77,90.72,201.93,2001
Johnny Hemsley,SG/SF,189.86,192.4,90.72,203.2,2000
Tito Maddox,PG,190.5,193.04,90.72,195.58,2002
O.J. Mayo,SG/PG,191.14,193.68,90.72,198.12,2008
Omar Thomas,SF/SG,191.14,194.31,90.72,203.2,2005
Craig Dawson,SG/SF,191.77,194.31,90.72,198.76,2002
Kenny Gregory,SF,191.77,194.31,90.72,211.46,2001
Bernard King,SG/PG,192.4,194.94,90.72,196.85,2003
Travis Hansen,SG,194.31,196.85,90.72,199.39,2003
Brian Bowen II,SF,198.76,201.93,90.72,208.28,2019
Troy Ostler,PF/SF,205.1,207.64,90.72,217.17,2001
Brandan Wright,PF,205.1,208.28,90.72,222.88,2007
Tommy Smith,PF/SF,205.74,208.28,90.72,219.71,2003
Tyus Battle,SG,195.58,200.02,90.81,205.74,2018
Kenrich Williams,SF,198.12,201.93,90.9,201.3,2018
Donte DiVincenzo,SG,191.77,194.31,90.99,198.12,2018
Mojave King,SG,192.4,194.94,90.99,203.2,2023
PJ Dozier,SG,196.22,200.02,90.99,210.82,2017
Tomas Satoransky,PG/SG,199.39,201.93,90.99,201.3,2012
Ty-Shon Alexander,SG,187.96,193.04,91.08,203.2,2020
James Ennis,SF,197.48,200.66,91.08,212.09,2013
Justin Jackson (UNC),SF,200.66,203.84,91.08,210.82,2017
Dereck Lively Jr.,C,215.9,218.44,104.31,231.14,2023
Stanley Burrell,PG,186.69,189.23,91.17,198.76,2008
Willie Green,SG/PG,189.23,191.77,91.17,201.3,2003
Brandon Paul,SG,189.86,193.04,91.17,208.92,2013
Rashad McCants,SG,189.86,193.04,91.17,210.18,2005
C.J. Wilcox,SG,191.77,195.58,91.17,207.64,2014
Carl English,SG/PG,193.04,195.58,91.17,196.22,2003
Nick George,SF/SG,193.04,197.48,91.17,208.28,2006
Brad Newley,SG,195.58,199.39,91.17,203.2,2007
Trevor Ariza,SG/SF,200.66,203.84,91.17,218.44,2004
Kendall Brown,SF,198.76,201.93,91.26,210.82,2022
Michael Qualls,SG/SF,193.04,195.58,91.35,214,2015
Frank Jackson,PG,187.96,191.77,91.44,201.93,2017
Cassius Stanley,SG,195.58,198.63,91.44,200.66,2020
Wade Baldwin IV,PG,189.23,193.04,91.53,211.46,2016
Bradley Beal,SG,191.14,194.94,91.53,203.2,2012
Jabari Brown,SG,190.5,193.68,91.58,203.84,2014
Brice Sensabaugh,SF,195.58,198.12,106.58,210.82,2023
Luis Flores,PG/SG,184.15,187.32,91.63,201.93,2004
Jaden Springer,SG,190.5,193.68,91.63,202.56,2021
Ryan Carroll,SF/SG,193.04,195.58,91.63,203.84,2001
Marcus Moore,PG/SG,193.04,196.22,91.63,205.74,2004
Viktor Keyru,SG/PG,196.22,198.12,91.63,206.38,2006
Josh Howard,SF/SG,196.22,198.76,91.63,218.44,2003
Vincent Yarbrough,SF,196.85,199.39,91.63,214.63,2002
Brian Bowen,SG/SF,198.76,201.93,91.63,208.92,2018
Ron Hale,SG/SF,201.93,204.47,91.63,210.82,2000
Damone Brown,SF,203.84,206.38,91.63,212.72,2001
DeAndre Liggins,SF/SG,195.58,198.76,91.72,210.82,2011
Julius Hodge,SG/SF,198.12,200.66,91.72,214.63,2005
Davion Mitchell,PG,182.88,186.06,91.81,193.68,2021
J'Covan Brown,PG,185.42,188.6,91.81,196.22,2012
Deron Williams,PG,187.32,189.86,91.81,198.76,2005
Jaylen Nowell,SG,191.14,193.68,91.81,201.3,2019
Wayne Ellington,SG,193.68,196.22,91.81,199.39,2009
Peter Jok,SG/SF,193.68,197.48,91.81,203.2,2017
Terrico White,SG/PG,192.4,195.58,91.9,205.74,2010
Carrick Felix,SF/SG,194.94,198.76,91.9,206.38,2013
Antoine Wright,SF/SG,196.22,198.76,91.9,205.1,2005
David Johnson,SG,191.14,194.94,91.99,209.55,2021
Austin Rivers,SG/PG,191.77,195.58,91.99,201.3,2012
Kelly Oubre,SF/SG,197.48,200.02,91.99,219.08,2015
James Nnaji,C,210.82,213.36,113.38,226.06,2023
Damon Hancock,SG/PG,189.86,192.4,92.08,198.12,2002
Maurice Ager,SG/PG,191.14,194.31,92.08,202.56,2006
Trent Forrest,PG,191.77,194.82,92.08,201.93,2020
Richard Roby,SG/SF,193.68,196.85,92.08,207.64,2008
Daequan Cook,SG,190.5,197.48,92.08,203.84,2007
Tamar Slay,SF,200.02,202.56,92.08,212.09,2002
Kessler Edwards,PF,200.66,203.2,92.08,211.46,2021
JT Thor,PF,204.47,206.38,92.08,221.62,2021
Keith Langford,SG/SF,188.6,191.77,92.17,205.74,2005
Tony Wroten,PG,194.94,198.12,92.17,205.74,2012
O'Shae Brissett,SF/PF,200.66,203.2,92.17,213.36,2019
Peyton Watson,SF,200.02,203.2,92.26,214.63,2022
Josh Hart,SG,193.04,196.85,92.35,204.47,2016
David Duke Jr.,SG,193.68,196.85,92.35,205.1,2021
Kentavious Caldwell-Pope,SG,194.31,196.85,92.35,203.2,2013
Darington Hobson,SG/SF,196.22,199.39,92.35,206.38,2010
Brandin Podziemski,SG,192.4,194.94,92.44,196.85,2023
Nickeil Alexander-Walker,SG,193.68,196.85,92.44,207.01,2019
Allan Ray,SG,185.42,188.6,92.53,204.47,2006
Jerryd Bayless,PG/SG,187.32,190.5,92.53,191.77,2008
Demetri McCamey,PG,187.32,191.14,92.53,198.76,2011
Romain Sato,SG,187.96,191.14,92.53,210.82,2004
Danilo Pinnock,PG/SG,189.86,193.04,92.53,201.93,2006
Skylar Mays,SG,190.5,193.04,92.53,198.12,2020
Coby Karl,SG/PG,190.5,194.94,92.53,210.82,2007
Malik Hairston,SG,193.68,196.22,92.53,205.74,2008
Rodney Carney,SG/SF,194.31,197.48,92.53,208.28,2006
Jordan Walsh,SF,197.48,200.02,92.53,217.8,2023
Gradey Dick,SG,198.76,201.3,92.53,205.1,2023
Pat Calathes,SF/PF,205.1,207.64,92.53,207.64,2008
Jaylen Clark,SG,193.04,195.58,92.62,205.74,2023
Gary Trent,SG,193.68,197.48,92.62,205.1,2018
Bennedict Mathurin,SG,194.31,198.12,92.8,205.74,2022
Terance Mann,SG/SF,194.94,199.39,92.8,202.56,2019
Scotty Hopson,SG,197.48,199.39,92.8,209.55,2011
Michael Gbinije,SG,196.85,200.02,92.8,201.93,2016
Gary Harris,SG,189.23,194.31,92.9,200.02,2014
Joe Wieskamp,SF,197.48,201.3,92.9,210.82,2021
Spencer Dinwiddie,PG,194.31,198.12,92.94,203.84,2014
Kris Dunn,PG,190.5,193.68,92.97,207.01,2016
Marcus Sasser,PG,187.96,190.5,88.44,200.66,2022
Jaden Ivey,PG,193,195.54,88.44,205.74,2022
Mike Miles Jr.,PG,184.78,187.32,92.99,184.15,2023
Travis Leslie,SG,190.5,193.68,92.99,209.55,2011
Michel Morandais,SG/SF,192.4,194.94,92.99,212.09,2004
Eric Coley,SG/SF,193.04,195.58,92.99,210.82,2000
Quentin Grimes,SG,193.04,196.22,92.99,203.2,2021
Trenton Hassell,SG/SF,193.68,196.22,92.99,203.2,2001
Lavor Postell,SG,194.31,196.85,92.99,204.47,2000
Kahlil Whitney,SF,196.85,200.66,92.99,214,2020
LaVell Blanchard,SF,198.12,200.66,92.99,198.12,2003
Kris Wilkes,SF,199.39,201.93,92.99,208.92,2018
Aerick Sanders,PF,199.39,201.93,92.99,212.09,2004
Justin Doellman,PF,203.2,207.01,92.99,205.1,2007
Damyean Dotson,SG/SF,194.31,196.85,93.08,205.74,2017
Thanasis Antetokounmpo,SF,196.22,198.76,93.08,213.36,2014
Cameron Johnson,SG,200.66,204.47,93.08,208.28,2019
Justin Love,PG/SG,186.69,189.23,93.21,194.31,2000
Miye Oni,SG,193.68,197.48,93.26,210.18,2019
Klay Thompson,SG,197.48,201.3,93.26,205.74,2011
Scott Machado,PG,185.42,187.96,93.35,193.04,2012
Devin Booker,SG,194.31,197.48,93.35,203.84,2015
Andre Roberson,PF/SF,198.76,200.66,93.35,210.82,2013
Cookie Belcher,SG/PG,190.5,193.04,93.44,204.47,2001
Renaldo Balkman,SF/PF,196.22,199.39,93.44,215.9,2006
Nick Young,SG/SF,195.58,200.02,93.44,213.36,2007
Bryant Matthews,SF/SG,197.48,200.02,93.44,214.63,2004
Hollis Thompson,SF,200.02,203.2,93.44,207.01,2012
Trey Murphy III,SF,201.93,206.38,93.44,213.36,2021
Davon Reed,SG/SF,194.31,196.85,93.53,213.36,2017
Mike Bell,SF/PF,205.1,206.38,93.53,217.17,2005
Zach Norvell Jr.,SG,194.31,196.85,93.62,198.12,2019
Devon Hall,SG,193.68,198.12,93.62,202.56,2018
Yves Pons,PF,196.85,200.02,93.62,215.26,2021
Justin Champagnie,PF,197.48,200.02,93.62,207.01,2021
Sean Banks,SF,197.48,200.66,93.62,215.9,2005
Chase Budinger,SF/SG,198.76,200.66,93.62,200.66,2009
Herbert Jones,SF,198.12,201.3,93.62,214,2021
Wesley Johnson,SF,198.76,201.3,93.62,215.9,2010
Greg Brown III,PF,201.3,204.47,93.62,214,2021
Nerlens Noel,C,208.28,212.72,93.62,222.88,2013
Quinndary Weatherspoon,SG,190.5,193.68,93.71,205.74,2019
DeAndre Bembry,SG/SF,193.68,197.48,93.71,206.38,2016
Terrence Shannon Jr.,SF,196.85,199.39,93.71,203.84,2021
Maurice Harkless,SF,201.3,205.1,93.71,213.36,2012
Nik Stauskas,SG,196.22,199.39,93.85,202.56,2014
Jaden Hardy,SG,190.5,193.04,89.8,205.74,2022
Steve Logan,PG,177.8,180.34,93.89,182.24,2002
Tim Pickett,PG/SG,190.5,193.68,93.89,201.93,2004
DeMarcus Minor,SG,191.14,193.68,93.89,203.84,2001
Rodney Stuckey,SG/PG,192.4,194.31,93.89,201.3,2007
Matt Carroll,SG/SF,195.58,198.12,93.89,199.39,2003
Brandon Roy,SG/SF,196.22,198.76,93.89,203.2,2006
John Salmons,SF/SG,196.85,199.39,93.89,208.92,2002
Shake Milton,SG/PG,194.31,196.85,93.98,215.26,2018
Mason Jones,SG,192.4,197.36,93.98,200.66,2020
Jereme Richmond,SF,198.12,201.3,93.98,208.92,2011
Maxwell Lewis,SG,198.76,201.3,93.98,213.36,2023
DeMarre Carroll,PF/SF,198.76,202.56,93.98,208.28,2009
Brandon Clarke,SF,201.3,203.84,93.98,203.84,2019
Norvel Pelle,PF/C,207.01,209.55,93.98,219.71,2013
Jermaine Taylor,SG,191.77,194.94,94.08,205.1,2009
Jaylen Barford,PG/SG,186.06,188.6,94.17,191.77,2018
James Anderson,SF,194.94,197.48,94.17,204.47,2010
Julian Strawther,SF,197.48,200.66,94.17,207.01,2022
Cameron Reddish,SF,199.39,203.2,94.26,214.63,2019
Devin Ebanks,SF,200.66,203.84,94.26,214,2010
Jeremy Pargo,PG,184.15,186.69,94.35,195.58,2008
Curtis Stinson,SG,187.32,189.86,94.35,195.58,2006
Dwayne Mitchell,SG/SF,187.96,191.14,94.35,199.39,2006
Dustin Salisbery,SG,190.5,194.94,94.35,203.2,2007
J.R. Giddens,SG,193.04,194.94,94.35,211.46,2008
Ricky Council IV,SF,195.58,198.12,94.35,205.74,2023
Danny Green,SG/SF,196.22,199.39,94.35,208.28,2009
Bernard Robinson,SG/SF,196.22,199.39,94.35,208.28,2004
Troy Brown,SF,197.48,200.02,94.35,208.92,2018
Marcus Dove,SF/PF,200.02,201.93,94.35,212.09,2008
Ekene Ibekwe,PF,203.2,205.74,94.35,228.6,2007
Chris Walker,PF,205.1,206.38,94.35,220.34,2015
Ndongo N'diaye,C,212.09,214.63,94.35,222.25,2000
Bol Bol,C,215.26,219.71,94.35,231.14,2019
Rodney Hood,SF,201.3,204.47,94.44,204.47,2014
Willie Warren,SG/PG,189.23,192.4,94.53,198.12,2010
Vince Hunter,PF,200.02,201.93,94.53,210.82,2015
Darius Bazley,PF,202.56,205.74,94.53,213.36,2019
Johnny Juzang,SG,196.22,199.39,94.62,210.82,2022
Robert Covington,SF/PF,198.76,201.93,94.62,217.8,2013
Jake Layman,SF,203.2,206.38,94.62,206.38,2016
Brice Johnson,PF,205.74,209.55,94.62,214.63,2016
Dez Wells,SG,190.5,193.04,94.71,207.01,2015
Jordan Adams,SG,191.77,194.94,94.71,208.28,2014
Mikhail Torrance,PG,193.04,195.58,94.71,201.93,2010
Julian Strawther,SF,198.12,200.66,94.71,206.38,2023
Kris Wilkes,SF,198.76,202.56,94.71,210.18,2019
Ersan Ilyasova,SF,202.56,205.74,94.71,216.54,2005
Khem Birch,PF,201.93,206.38,94.71,215.9,2014
Fanbo Zeng,SF/PF,210.82,213.36,90.25,209.55,2022
Josh Minnott,PF,203.2,205.74,92.97,212.725,2022
Chet Holmgren,PF,215.9,218.44,93.88,228.6,2022
Shelvin Mack,PG,185.42,189.23,94.8,201.93,2011
Alondes Williams,SG,192.4,195.58,94.8,200.66,2022
Blake Schilb,PG/SG,196.22,198.76,94.8,205.1,2006
Terrance Roberson,SF,196.85,199.39,94.8,203.2,2000
Johnny Juzang,SG,196.85,200.66,94.8,209.55,2021
Ronald Dupree,SF/SG,198.12,200.66,94.8,203.84,2003
Brandon Bowman,SF,200.02,203.84,94.8,212.09,2006
James Hughes,C,205.74,210.18,94.8,220.98,2007
Lee Scruggs,PF/SF,208.92,211.46,94.8,227.96,2001
Josh Hart,SG/SF,192.4,195.58,94.89,203.84,2017
Jalen Williams,SG,194.31,197.48,94.89,219.08,2022
Aaron Harrison,SG,194.31,198.12,94.89,203.84,2015
Terran Petteway,SG,194.94,198.12,94.89,211.46,2015
Christian Braun,SG,196.85,200.66,94.89,199.39,2022
Joe Ingles,SF,202.56,203.84,94.89,208.92,2009
CJ Leslie,PF/SF,201.93,205.1,94.89,219.08,2013
Cleanthony Early,SF,198.12,201.3,94.98,210.18,2014
Quentin Grimes,SG,193.04,196.22,95.07,202.56,2019
Aaron Henry,SF,194.31,198.12,95.07,210.18,2021
Jalen Johnson,PF,202.56,206.38,95.07,214,2021
KZ Okpala,SF,201.3,207.01,95.07,217.8,2019
Elgin Cook,SF,195.58,198.76,95.16,208.28,2016
Jared Rhoden,SG/SF,195.58,198.12,95.24,210.82,2022
Tyrese Martin,SG/SF,198.12,200.66,97.51,203.2,2022
Keegan Murray,PF,203,205.54,97.51,210.82,2022
Rickey Paulding,SG,189.86,193.04,95.25,207.01,2004
Bryce Taylor,SG,189.86,193.68,95.25,205.74,2008
Isaiah Whitehead,PG/SG,191.14,194.31,95.25,205.1,2016
Ebi Ere,SG,191.77,194.31,95.25,209.55,2003
Eddie Basden,SG/SF,193.68,196.85,95.25,208.92,2005
Sylven Landesberg,SG,194.94,198.76,95.25,205.74,2010
Anthony Black,PG,197.48,200.02,95.25,201.93,2023
Thaddeus Young,SF,197.48,201.93,95.25,212.09,2007
Marko Jaric,SG/SF,199.39,201.93,95.25,205.74,2000
Herve Lamizana,SF/PF,201.93,204.47,95.25,217.17,2004
Frank Elegar,PF,201.3,205.1,95.25,221.62,2008
Mohamed Abukar,SF,203.2,207.64,95.25,205.74,2007
Xavier Henry,SG,196.22,199.39,95.35,211.46,2010
Jarvis Varnado,PF/C,203.84,208.28,95.35,222.25,2010
Denzel Valentine,SG/SF,193.04,197.48,95.44,210.18,2016
Will Clyburn,SF/SG,197.48,200.66,95.44,214,2013
Jontay Porter,PF,207.64,210.82,95.44,213.36,2019
Moses Moody,SG,194.31,198.12,95.53,215.26,2021
Josh Okogie,SG,190.5,194.31,95.62,213.36,2018
Dionte Christmas,SG,193.68,196.85,95.62,205.74,2009
Glen Rice,SF/SG,194.31,197.48,95.62,206.38,2013
Greivis Vasquez,PG/SG,195.58,199.39,95.62,200.66,2010
Rondae Hollis-Jefferson,SF,196.85,200.66,95.62,218.44,2015
Elvin Mims,SF/SG,193.68,196.22,95.71,217.17,2002
Travis Robinson,SF,196.22,198.76,95.71,209.55,2002
Bobby Jones,SF/SG,197.48,200.02,95.71,207.01,2006
Anthony Brown,SF/SG,197.48,201.3,95.71,210.82,2015
Kyle Korver,SF,198.76,201.3,95.71,207.01,2003
Demetris Nichols,SF,198.12,201.93,95.71,214,2007
Gordon Hayward,SF,200.02,203.2,95.71,202.56,2010
Julian Wright,SF/PF,199.39,204.47,95.71,219.08,2007
Justin Williams,C/PF,201.3,205.1,95.71,217.17,2006
Leonard Miller,SF,204.47,208.28,95.71,218.44,2022
Marcus Lee,PF/C,205.74,208.92,95.71,220.98,2016
Michael Porter,SF/PF,207.01,210.18,95.71,214,2018
Souleymane Camara,PF/SF,207.64,210.18,95.71,219.08,2003
DeMar DeRozan,SG/SF,196.85,199.39,95.8,205.74,2009
Theo Pinson,SG/SF,195.58,200.02,95.8,210.18,2018
Omri Casspi,SF,202.56,206.38,95.8,206.38,2009
Donovan Mitchell,SG,186.06,190.5,95.89,208.28,2017
Jodie Meeks,SG,190.5,193.04,95.89,194.31,2009
Brandon Rush,SG/SF,195.58,199.39,95.89,211.46,2005
Glenn Robinson III,SF,196.85,200.02,95.89,208.28,2014
Nate Johnson,SF,199.39,201.93,95.93,204.47,2000
Sindarius Thornwell,SG/SF,191.77,194.94,95.98,208.28,2017
Kevin Hervey,PF,199.39,202.56,95.98,222.25,2018
Sviatoslav Mykhailiuk,SG/SF,199.39,202.56,95.98,194.94,2018
Ousmane Dieng,SF,205.74,208.28,99.77,213.36,2022
Frank Williams,PG,186.69,189.23,96.16,203.2,2002
Darius Johnson-Odom,SG,186.69,190.5,96.16,200.66,2012
Randy Foye,SG/PG,188.6,191.14,96.16,198.76,2006
John Jenkins,SG,191.14,193.68,96.16,204.47,2012
Dwyane Wade,SG/SF,192.4,194.94,96.16,210.18,2003
David Graves,SG,194.31,196.85,96.16,200.66,2002
Predrag Savovic,SG,194.94,197.48,96.16,200.66,2002
Tyler Smith,SF,196.22,198.12,96.16,207.64,2009
Luke Jackson,SF/SG,198.12,200.66,96.16,204.47,2004
Yue Sun,SF,202.56,205.1,96.16,205.74,2007
Avis Wyatt,PF,205.1,207.01,96.16,215.9,2007
Britton Johnsen,SF/PF,208.28,210.82,96.16,210.18,2003
Ron Baker,SG,191.14,193.68,96.34,207.64,2016
Buddy Hield,SG,192.4,195.58,96.34,206.38,2016
Julian Champagnie,SF,198.76,202.56,96.34,208.28,2022
Olivier-Maxence Prosper,PF,200.02,202.56,96.34,215.9,2023
Longar Longar,C,205.74,208.28,96.39,216.54,2008
Kevin Porter Jr.,SG,193.04,196.85,96.43,205.74,2019
Dorian Finney-Smith,SF,199.39,202.56,96.43,212.72,2016
Jalen Hoard,PF,201.3,205.74,96.43,215.26,2019
Kevin Knox,SF,202.56,205.74,96.43,212.72,2018
Mouhamed Gueye,C,208.92,211.46,96.43,221.62,2023
Aminu Mohammed,SG/SF,191.77,195.58,96.52,210.82,2022
Tyler Bey,PF,198.12,200.66,96.52,216.54,2020
Jeff Taylor,SF/SG,198.12,201.3,96.52,198.76,2012
Sharrod Ford,PF,201.3,203.84,96.52,217.17,2005
Kris Murray,PF,202.56,205.1,96.52,212.72,2023
Leonard Miller,PF,206.38,208.92,96.52,218.44,2023
Joe Crawford,SG,190.5,193.04,96.62,197.48,2008
Keith Bogans,SG,193.68,196.22,96.62,206.38,2003
Byron Mouton,SG/SF,194.31,196.85,96.62,208.92,2002
Jason Richardson,SF/SG,194.94,197.48,96.62,212.09,2001
Davon Jefferson,SF,196.22,199.39,96.62,207.01,2008
Sean Lampley,SF,196.85,199.39,96.62,206.38,2001
Stephane Lasme,PF,195.58,200.66,96.62,218.44,2007
Qyntel Woods,SF/SG,200.66,203.2,96.62,208.28,2002
Victor Oladipo,SG,191.14,193.68,96.71,206.38,2013
Andrew Harrison,PG,194.31,196.85,96.71,205.74,2015
Terrence Williams,SG/SF,195.58,198.76,96.71,205.74,2009
Jamel Artis,SG/SF,196.85,200.02,96.71,208.28,2017
Kenyon Martin Jr.,SF/PF,198.12,200.66,96.71,201.3,2020
Stanley Robinson,SF,199.39,202.56,96.71,213.36,2010
James Young,SG,196.22,200.02,96.75,213.36,2014
Jaron Blossomgame,SF,198.76,201.3,96.89,208.28,2016
Taylor Hendricks,PF,203.84,206.38,96.89,214.63,2023
Evan Turner,SG,197.48,200.66,96.98,203.2,2010
Jabari Walker,PF,200.02,203.2,96.98,210.18,2022
Ismael Kamagate,PF,210.82,213.36,99.77,220.98,2022
Tony Allen,SG,191.77,193.68,97.07,205.74,2004
Josh Green,SG/SF,194.31,196.85,97.07,207.64,2020
Desmon Farmer,SG,194.31,197.48,97.07,204.47,2004
Dahntay Jones,SG/SF,194.94,197.48,97.07,205.74,2003
